,0
664,28.859741
665,28.636835
666,28.716265
667,28.96353
668,28.576332
669,28.647423
670,28.404732
671,28.605156
672,28.531229
673,28.533157
674,28.897936
675,28.731304
676,28.531408
677,28.42479
678,28.789064
679,28.683409
680,28.724728
681,28.947062
682,28.632687
683,28.684116
684,28.671576
685,28.66116
686,28.908249
687,28.52399
688,28.757565
689,28.686794
690,28.628073
691,28.554811
692,28.343943
693,28.811068
694,28.331146
695,28.720165
696,28.727005
697,28.480381
698,28.62451
699,28.455345
700,28.604324
701,28.699402
702,28.916004
703,28.48416
704,28.659065
705,28.586336
706,28.472588
707,28.689993
708,28.560837
709,28.603268
710,28.518864
711,28.665375
712,28.838154
713,28.723473
714,28.528906
715,28.386696
716,28.758661
717,29.054142
718,28.853498
719,28.982779
720,29.184633
721,28.554918
722,28.396355
723,28.556211
724,28.930714
725,28.534897
726,28.770203
727,28.88158
728,28.562176
729,29.033756
730,28.632566
731,28.730627
732,28.930895
733,28.556395
734,28.645336
735,28.453627
736,28.835411
737,29.139933
738,28.568148
739,28.71711
740,28.76935
741,28.552265
742,28.69489
743,28.60298
744,28.794088
745,28.48305
746,28.54881
747,28.647377
748,28.491356
749,28.64024
750,29.018185
751,28.633728
752,28.67263
753,28.829927
754,28.491236
755,28.37359
756,28.81263
757,28.699472
758,28.631165
759,28.916204
760,28.49955
761,28.62738
762,28.824196
763,28.911627
764,28.53591
765,28.712696
766,28.897305
767,28.885214
768,28.514214
769,28.88279
770,28.867079
771,28.508524
772,28.777287
773,28.604914
774,28.96714
775,28.794437
776,28.43646
777,28.79208
778,29.003323
779,28.522911
780,28.3793
781,28.506813
782,28.669294
783,28.468351
784,28.99866
785,28.645409
786,28.819778
787,28.676464
788,28.604294
789,28.687021
790,29.165075
791,28.815369
792,28.44584
793,28.96081
794,28.868128
795,28.615051
796,28.733692
797,28.513775
798,28.580978
799,28.875992
800,28.592539
801,28.600393
802,28.442148
803,28.869675
804,28.701546
805,29.048315
806,28.734396
807,28.565748
808,28.377724
809,28.359121
810,28.908419
811,28.645359
812,28.566145
813,28.809605
814,28.561968
815,28.897694
816,28.755516
817,28.836107
818,28.783966
819,28.53371
820,28.313307
821,28.592867
822,28.587536
823,29.009033
824,28.522528
825,28.934513
826,28.719603
827,28.474255
828,28.641191
829,28.759666
830,28.634129
831,28.987114
832,28.612257
833,28.541246
834,28.431353
835,28.68756
836,28.717508
837,29.11028
838,28.566334
839,28.489094
840,28.70633
841,28.955292
842,28.436974
843,28.705816
844,28.74969
845,28.641382
846,28.610292
847,28.750193
848,28.751469
849,28.490854
850,28.999744
851,28.862041
852,28.811684
853,28.90038
854,28.517519
855,28.50286
856,28.543768
857,28.724335
858,28.713657
859,28.976715
860,28.84195
861,28.819069
862,28.788334
863,28.874853
864,28.267029
865,28.70952
866,28.732468
867,28.77864
868,28.49151
869,28.478401
870,28.705242
871,28.510826
872,28.557962
873,28.508755
874,28.7461
875,28.94734
876,28.610973
877,28.843195
878,28.56766
879,28.611132
880,28.88112
881,28.68074
882,28.471296
883,28.649239
884,28.995726
885,28.870127
886,28.621195
887,28.69685
888,28.951654
889,28.493519
890,28.899984
891,28.558174
892,28.931211
893,28.762316
894,29.070498
895,28.584862
896,28.733295
897,28.592693
898,28.798935
899,28.51264
900,28.413494
901,28.51622
902,28.756128
903,28.447327
904,28.636759
905,28.47494
906,28.815725
907,29.434807
908,28.780046
909,28.536104
910,28.374384
911,28.792873
912,28.744617
913,28.688995
914,28.986336
915,28.969105
916,28.685349
917,28.978691
918,28.663372
919,29.014883
920,28.917665
921,28.71881
922,28.642246
923,28.76205
924,28.992514
925,28.889635
926,28.740221
927,28.36635
928,28.579617
929,28.643305
930,28.697552
931,28.86042
932,29.106407
933,28.805628
934,28.674072
935,28.794573
936,28.713371
937,28.677034
938,28.57801
939,28.785566
940,28.610653
941,28.592577
942,28.627913
943,28.555805
944,29.107845
945,28.811342
946,28.718044
947,28.672523
948,28.444818
949,28.437735
950,28.30713
951,28.434538
952,28.8617
953,28.913834
954,28.963343
955,28.53191
956,28.98085
957,28.689869
958,28.870075
959,28.9564
960,28.655884
961,28.563345
962,29.046001
963,29.101444
964,28.529207
965,28.669853
966,28.523197
967,28.500488
968,28.821287
969,28.876854
970,29.017618
971,28.687035
972,28.937052
973,28.455957
974,28.548613
975,28.784397
976,28.561886
977,28.604248
978,28.664225
979,28.85272
980,29.049042
981,28.575592
982,28.58765
983,28.641636
984,28.823103
985,29.111998
986,28.616371
